"Accl.","Zone","El�ment","X","Y","Z","Dist. cumul.","Longueur","D�flexion","Corhgeo","Gisement","Pente Z","Tilt Z","Date&nbsp;Calcul","Comm","Id point ","Id assemb.","Id slot"
"BR","360","BWSH.4L1.E","1856.723592","2125.150448","2433.660000","31.049000","-","0.000000000","-","300.2806400","0.000000000","0.000000000","13-JAN-2017","-","776628","40095061","40095061"
"BR","360","MCC.4L1.S","1856.633096","2125.150847","2433.660000","31.139496","0.522000","0.000000000","0.000000","300.2806400","0.000000000","0.000000000","29-JUL-2015","-","773898","2452437","2452437"
"BR","360","BWSH.4L1.S","1856.243596","2125.152564","2433.660000","31.529000","0.480000","0.000000000","-","300.2806400","0.000000000","0.000000000","13-JAN-2017","-","776629","40095061","40095061"
"BR","360","BHZ.41.E","1855.666100","2125.155130","2433.660000","32.106496","-","0.098175000","0.000000","300.2806400","0.000000000","0.000000000","19-JUN-1990","-","80297","2458998","2458998"
"BR","360","BHZ.41.S","1854.058100","2125.003910","2433.660000","33.724192","1.617696","0.098175000","0.000000","287.7809450","0.000000000","0.000000000","19-JUN-1990","-","80298","2458998","2458998"
"BR","360","QFO.41.E","1853.675140","2124.929490","2433.660000","34.114302","-","0.000000000","0.000000","287.7809450","0.000000000","0.000000000","19-JUN-1990","-","80299","2459002","2459002"
"BR","360","QFO.41.S","1853.227510","2124.842510","2433.660000","34.570302","0.456000","0.000000000","0.000000","287.7809450","0.000000000","0.000000000","19-JUN-1990","-","80300","2459002","2459002"
"BR","360","BPM.4L3.E","1853.133280","2124.824200","2433.660000","34.666302","-","0.000000000","0.000000","287.7809450","0.000000000","0.000000000","19-JUN-1990","-","80459","2452439","2459014"
"BR","360","BPM.4L3.S","1852.634600","2124.727290","2433.660000","35.174302","0.508000","0.000000000","0.000000","287.7809450","0.000000000","0.000000000","19-JUN-1990","-","80460","2452439","2459014"
"BR","360","QDE.4.E","1852.540370","2124.708980","2433.660000","35.270302","-","0.000000000","0.000000","287.7809450","0.000000000","0.000000000","19-JUN-1990","-","80301","2459020","2459020"
"BR","360","QDE.4.S","1851.721680","2124.549880","2433.660000","36.104302","0.834000","0.000000000","0.000000","287.7809450","0.000000000","0.000000000","19-JUN-1990","-","80302","2459020","2459020"
"BR","360","DHZ.4L4.E","1851.634320","2124.532900","2433.660000","36.193302","-","0.000000000","0.000000","287.7809450","0.000000000","0.000000000","19-JUN-1990","-","80303","2452446","2459025"
"BR","360","DHZ.4L4.S","1851.121900","2124.433330","2433.660000","36.715302","0.522000","0.000000000","0.000000","287.7809450","0.000000000","0.000000000","19-JUN-1990","-","80304","2452446","2459025"
"BR","360","QFO.42.E","1851.033560","2124.416160","2433.660000","36.805302","-","0.000000000","0.000000","287.7809450","0.000000000","0.000000000","19-JUN-1990","-","80305","2459003","2459003"
"BR","360","QFO.42.S","1850.585930","2124.329170","2433.660000","37.261302","0.456000","0.000000000","0.000000","287.7809450","0.000000000","0.000000000","19-JUN-1990","-","80306","2459003","2459003"
"BR","360","BHZ.42.E","1850.202050","2124.254570","2433.660000","37.652302","-","0.098175000","0.000000","287.7809450","0.000000000","0.000000000","19-JUN-1990","-","80307","2458999","2458999"
"BR","360","BHZ.42.S","1848.654440","2123.792560","2433.660000","39.269998","1.617696","0.098175000","0.000000","275.2809750","0.000000000","0.000000000","19-JUN-1990","-","80308","2458999","2458999"
"BR","360","BHZ.51.E","1846.198010","2122.787750","2433.660000","41.923998","-","0.098175000","0.000000","275.2809750","0.000000000","0.000000000","19-JUN-1990","-","80309","2459041","2459041"
"BR","360","BHZ.51.S","1844.770270","2122.032690","2433.660000","43.541694","1.617696","0.098175000","0.000000","262.7810670","0.000000000","0.000000000","19-JUN-1990","-","80310","2459041","2459041"
"BR","360","QFO.51.E","1844.444940","2121.817390","2433.660000","43.931794","-","0.000000000","0.000000","262.7810670","0.000000000","0.000000000","19-JUN-1990","-","80311","2459045","2459045"
"BR","360","QFO.51.S","1844.064670","2121.565720","2433.660000","44.387794","0.456000","0.000000000","0.000000","262.7810670","0.000000000","0.000000000","19-JUN-1990","-","80312","2459045","2459045"
"BR","360","BPM.5L3.E","1843.984620","2121.512740","2433.660000","44.483794","-","0.000000000","0.000000","262.7810670","0.000000000","0.000000000","19-JUN-1990","-","80461","2452451","2459057"
"BR","360","BPM.5L3.S","1843.560990","2121.232380","2433.660000","44.991794","0.508000","0.000000000","0.000000","262.7810670","0.000000000","0.000000000","19-JUN-1990","-","80462","2452451","2459057"
"BR","360","QDE.5.E","1843.480940","2121.179390","2433.660000","45.087794","-","0.000000000","0.000000","262.7810670","0.000000000","0.000000000","19-JUN-1990","-","80313","2459063","2459063"
"BR","360","QDE.5.S","1842.785450","2120.719110","2433.660000","45.921794","0.834000","0.000000000","0.000000","262.7810670","0.000000000","0.000000000","19-JUN-1990","-","80314","2459063","2459063"
"BR","360","MCC.5L4.E","1842.711230","2120.670000","2433.660000","46.010794","-","0.000000000","0.000000","262.7810670","0.000000000","0.000000000","19-JUN-1990","-","80315","2452458","2452458"
"BR","360","MCC.5L4.S","1842.275930","2120.381910","2433.660000","46.532794","0.522000","0.000000000","0.000000","262.7810670","0.000000000","0.000000000","19-JUN-1990","-","80316","2452458","2452458"
"BR","360","QFO.52.E","1842.200880","2120.332240","2433.660000","46.622794","-","0.000000000","0.000000","262.7810670","0.000000000","0.000000000","19-JUN-1990","-","80317","2459046","2459046"
"BR","360","QFO.52.S","1841.820610","2120.080570","2433.660000","47.078794","0.456000","0.000000000","0.000000","262.7810670","0.000000000","0.000000000","19-JUN-1990","-","80318","2459046","2459046"
"BR","360","BHZ.52.E","1841.494500","2119.864750","2433.660000","47.469804","-","0.098175000","0.000000","262.7810670","0.000000000","0.000000000","19-JUN-1990","-","80319","2459042","2459042"
"BR","360","BHZ.52.S","1840.241500","2118.845660","2433.660000","49.087500","1.617696","0.098175000","0.000000","250.2808840","0.000000000","0.000000000","19-JUN-1990","-","80320","2459042","2459042"
"BR","360","MM.6L1.E","1840.164086","2118.768926","2433.660000","49.196500","-","0.000000000","0.000000","250.2808840","0.000000000","0.000000000","29-JUL-2015","-","773899","2452462","2452462"
"BR","360","MM.6L1.S","1839.793351","2118.401449","2433.660000","49.718500","0.522000","0.000000000","0.000000","250.2808840","0.000000000","0.000000000","29-JUL-2015","-","773900","2452462","2452462"
"BR","360","BHZ.61.E","1838.356580","2116.977300","2433.660000","51.741500","-","0.098175000","0.000000","250.2808840","0.000000000","0.000000000","19-JUN-1990","-","80321","2459088","2459088"
"BR","360","BHZ.61.S","1837.326470","2115.733340","2433.660000","53.359196","1.617696","0.098175000","0.000000","237.7810360","0.000000000","0.000000000","19-JUN-1990","-","80322","2459088","2459088"
"BR","360","QFO.61.E","1837.108300","2115.409930","2433.660000","53.749296","-","0.000000000","0.000000","237.7810360","0.000000000","0.000000000","19-JUN-1990","-","80323","2459092","2459092"
"BR","360","QFO.61.S","1836.853290","2115.031900","2433.660000","54.205296","0.456000","0.000000000","0.000000","237.7810360","0.000000000","0.000000000","19-JUN-1990","-","80324","2459092","2459092"
"BR","360","BPM.6L3.E","1836.799600","2114.952310","2433.660000","54.301296","-","0.000000000","0.000000","237.7810360","0.000000000","0.000000000","19-JUN-1990","-","80463","2452464","2459104"
"BR","360","BPM.6L3.S","1836.515510","2114.531180","2433.660000","54.809296","0.508000","0.000000000","0.000000","237.7810360","0.000000000","0.000000000","19-JUN-1990","-","80464","2452464","2459104"
"BR","360","QDE.6.E","1836.461820","2114.451590","2433.660000","54.905296","-","0.000000000","0.000000","237.7810360","0.000000000","0.000000000","19-JUN-1990","-","80325","2459110","2459110"
"BR","360","QDE.6.S","1835.995420","2113.760200","2433.660000","55.739296","0.834000","0.000000000","0.000000","237.7810360","0.000000000","0.000000000","19-JUN-1990","-","80326","2459110","2459110"
"BR","360","DHZ.6L4.E","1835.945650","2113.686420","2433.660000","55.828296","-","0.000000000","0.000000","237.7810360","0.000000000","0.000000000","19-JUN-1990","-","80327","2452471","2459119"
"BR","360","DHZ.6L4.S","1835.653730","2113.253670","2433.660000","56.350296","0.522000","0.000000000","0.000000","237.7810360","0.000000000","0.000000000","19-JUN-1990","-","80328","2452471","2459119"
"BR","360","QFO.62.E","1835.603400","2113.179060","2433.660000","56.440296","-","0.000000000","0.000000","237.7810360","0.000000000","0.000000000","19-JUN-1990","-","80329","2459093","2459093"
"BR","360","QFO.62.S","1835.348390","2112.801030","2433.660000","56.896296","0.456000","0.000000000","0.000000","237.7810360","0.000000000","0.000000000","19-JUN-1990","-","80330","2459093","2459093"
"BR","360","BHZ.62.E","1835.129690","2112.476840","2433.660000","57.287306","-","0.098175000","0.000000","237.7810360","0.000000000","0.000000000","19-JUN-1990","-","80331","2459089","2459089"
"BR","360","BHZ.62.S","1834.362060","2111.055820","2433.660000","58.905002","1.617696","0.098175000","0.000000","225.2811430","0.000000000","0.000000000","19-JUN-1990","-","80332","2459089","2459089"
"BR","360","C02.7L1.E","1834.321060","2110.958070","2433.660000","59.011002","-","0.000000000","0.000000","225.2811430","0.000000000","0.000000000","22-JAN-1998","-","178987","2452473","2459128"
"BR","360","C02.7L1.S","1833.376600","2108.706100","2433.660000","61.453002","2.442000","0.000000000","0.000000","225.2811430","0.000000000","0.000000000","22-JAN-1998","-","178988","2452473","2459128"
"BR","360","BHZ.71.E","1833.335610","2108.608350","2433.660000","61.559002","-","0.098175000","0.000000","225.2811430","0.000000000","0.000000000","19-JUN-1990","-","80333","2459129","2459129"
"BR","360","BHZ.71.S","1832.859950","2107.064880","2433.660000","63.176698","1.617696","0.098175000","0.000000","212.7808690","0.000000000","0.000000000","19-JUN-1990","-","80334","2459129","2459129"
"BR","360","QFO.71.E","1832.782150","2106.682600","2433.660000","63.566798","-","0.000000000","0.000000","212.7808690","0.000000000","0.000000000","19-JUN-1990","-","80335","2459137","2459137"
"BR","360","QFO.71.S","1832.691220","2106.235760","2433.660000","64.022798","0.456000","0.000000000","0.000000","212.7808690","0.000000000","0.000000000","19-JUN-1990","-","80336","2459137","2459137"
"BR","360","BPM.7L3.E","1832.672080","2106.141680","2433.660000","64.118798","-","0.000000000","0.000000","212.7808690","0.000000000","0.000000000","19-JUN-1990","-","80465","2452475","2459149"
"BR","360","BPM.7L3.S","1832.570770","2105.643890","2433.660000","64.626798","0.508000","0.000000000","0.000000","212.7808690","0.000000000","0.000000000","19-JUN-1990","-","80466","2452475","2459149"
"BR","360","QDE.7.E","1832.551630","2105.549810","2433.660000","64.722798","-","0.000000000","0.000000","212.7808690","0.000000000","0.000000000","19-JUN-1990","-","80337","2459155","2459155"
"BR","360","QDE.7.S","1832.385310","2104.732570","2433.660000","65.556798","0.834000","0.000000000","0.000000","212.7808690","0.000000000","0.000000000","19-JUN-1990","-","80338","2459155","2459155"
"BR","360","DBSH.7L4.E","1832.367570","2104.645350","2433.660000","65.645798","-","0.000000000","0.000000","212.7808690","0.000000000","0.000000000","19-JUN-1990","-","80339","2452482","2459160"
"BR","360","DBSH.7L4.S","1832.263470","2104.133840","2433.660000","66.167798","0.522000","0.000000000","0.000000","212.7808690","0.000000000","0.000000000","19-JUN-1990","-","80340","2452482","2459160"
"BR","360","QFO.72.E","1832.245520","2104.045650","2433.660000","66.257798","-","0.000000000","0.000000","212.7808690","0.000000000","0.000000000","19-JUN-1990","-","80341","2459138","2459138"
"BR","360","QFO.72.S","1832.154590","2103.598800","2433.660000","66.713798","0.456000","0.000000000","0.000000","212.7808690","0.000000000","0.000000000","19-JUN-1990","-","80342","2459138","2459138"
"BR","360","BHZ.72.E","1832.076610","2103.215600","2433.660000","67.104808","-","0.098175000","0.000000","212.7808690","0.000000000","0.000000000","19-JUN-1990","-","80343","2459130","2459130"
"BR","360","BHZ.72.S","1831.911210","2101.608990","2433.660000","68.722504","1.617696","0.098175000","0.000000","200.2810820","0.000000000","0.000000000","19-JUN-1990","-","80344","2459130","2459130"
"BR","360","MM.8L1.E","1831.910725","2101.499241","2433.660000","68.832254","-","0.000000000","0.000000","200.2810820","0.000000000","0.000000000","31-JUL-2015","-","773905","2452486","2452486"
"BR","360","MCC.8L1.E","1831.908505","2100.996246","2433.660000","69.335254","-","0.000000000","0.000000","200.2810820","0.000000000","0.000000000","31-JUL-2015","-","773907","2452490","2452490"
"BR","360","MM.8L1.S","1831.908483","2100.991246","2433.660000","69.340254","0.508000","0.000000000","0.000000","200.2810820","0.000000000","0.000000000","31-JUL-2015","-","773906","2452486","2452486"
"BR","360","MCC.8L1.S","1831.906200","2100.474251","2433.660000","69.857254","0.522000","0.000000000","0.000000","200.2810820","0.000000000","0.000000000","31-JUL-2015","-","773908","2452490","2452490"
"BR","360","BCW.8L1.E","1831.903070","2099.766010","2433.660000","70.565504","-","0.000000000","0.000000","200.2810820","0.000000000","0.000000000","19-FEB-2001","-","205662","2452493","2459190"
"BR","360","BCW.8L1.S","1831.901570","2099.426010","2433.660000","70.905504","0.340000","0.000000000","0.000000","200.2810820","0.000000000","0.000000000","19-FEB-2001","-","205663","2452493","2459190"
"BR","360","BHZ.81.E","1831.899490","2098.955020","2433.660000","71.376504","-","0.098175000","0.000000","200.2810820","0.000000000","0.000000000","19-JUN-1990","-","80345","2459196","2459196"
"BR","360","BHZ.81.S","1832.050700","2097.347010","2433.660000","72.994200","1.617696","0.098175000","0.000000","187.7809600","0.000000000","0.000000000","19-JUN-1990","-","80346","2459196","2459196"
"BR","360","QFO.81.E","1832.125120","2096.964050","2433.660000","73.384300","-","0.000000000","0.000000","187.7809600","0.000000000","0.000000000","19-JUN-1990","-","80347","2459204","2459204"
